#Angstrom PHOTLAM 
6153.9800000000005 4.203740186001107e-29 
6161.89 4.4835614206787915e-29 
6169.8 4.784979480481691e-29 
6177.71 5.109843981722336e-29 
6185.62 5.460176871437416e-29 
6193.53 5.838189670622972e-29 
6201.4400000000005 6.246302553692765e-29 
6209.35 6.68716547086051e-29 
6217.26 7.163681544608862e-29 
6225.17 7.679032998904995e-29 
6233.08 8.23670991074767e-29 
6240.99 8.840542108414417e-29 
6248.900000000001 9.494734579948908e-29 
6256.81 1.020390679952546e-28 
6264.72 1.0973136429053253e-28 
6272.63 1.180800790841099e-28 
6280.54 1.2714666510946073e-28 
6288.45 1.3699878512230512e-28 
6296.36 1.477109820066792e-28 
6304.27 1.593654254962532e-28 
6312.18 1.7205274473731778e-28 
6320.09 1.8587295708462847e-28 
6328.0 2.0093650483979737e-28 
6335.91 2.1736541313482375e-28 
6343.82 2.352945838553734e-28 
6351.7300000000005 2.548732424162274e-28 
6359.64 2.7626655637736988e-28 
6367.55 2.996574473587038e-28 
6375.46 3.2524862051609153e-28 
6383.37 3.532648390286153e-28 
6391.28 3.8395547467010274e-28 
6399.1900000000005 4.17597369661055e-28 
6407.1 4.544980496884585e-28 
6415.01 4.949993333262055e-28 
6422.92 5.3948138917903485e-28 
6430.83 5.883672990171575e-28 
6438.74 6.421281930938394e-28 
6446.650000000001 7.012890328825035e-28 
6454.56 7.664351268041264e-28 
6462.47 8.382194763261002e-28 
6470.38 9.173710633202349e-28 
6478.29 1.0047042050255672e-27 
6486.2 1.1011291206599447e-27 
6494.11 1.2076638740020312e-27 
6502.02 1.3254478795136539e-27 
6509.93 1.4557571862379905e-27 
6517.84 1.6000217843217022e-27 
6525.75 1.7598452141612956e-27 
6533.66 1.9370267985798673e-27 
6541.57 2.1335868649001926e-27 
6549.4800000000005 2.3517953772398868e-27 
6557.39 2.5942044609128832e-27 
6565.3 2.863685371732437e-27 
6573.21 3.1634705447719497e-27 
6581.12 3.497201451446926e-27 
6589.03 3.8689831026414e-27 
6596.9400000000005 4.283446161340217e-27 
6604.85 4.745817773551846e-27 
6612.76 5.2620023943672135e-27 
6620.67 5.83867408050068e-27 
6628.58 6.48338194587434e-27 
6636.49 7.204670737792707e-27 
6644.400000000001 8.012218793852702e-27 
6652.31 8.916995990832155e-27 
6660.22 9.931444704447138e-27 
6668.13 1.1069687272440692e-26 
6676.04 1.2347764004041847e-26 
6683.95 1.378390641933769e-26 
6691.86 1.5398851147692256e-26 
6699.77 1.721620078289408e-26 
6707.68 1.9262839005149855e-26 
6715.59 2.1569408460976008e-26 
6723.5 2.4170861270512438e-26 
6731.41 2.710709364183308e-26 
6739.32 3.0423677953765876e-26 
6747.2300000000005 3.4172707869841404e-26 
6755.14 3.841377462226864e-26 
6763.05 4.3215095622293633e-26 
6770.96 4.865482008981147e-26 
6778.87 5.482254054312118e-26 
6786.78 6.182104385793719e-26 
6794.6900000000005 6.976834132269041e-26 
6802.6 7.880002383747471e-26 
6810.51 8.907199630816978e-26 
6818.42 1.0076365459024451e-25 
6826.33 1.1408157929417225e-25 
6834.24 1.292638336792518e-25 
6842.150000000001 1.4658496809586049e-25 
6850.06 1.6636185141657818e-25 
6857.97 1.8896047113505633e-25 
6865.88 2.148038689164007e-25 
6873.79 2.443814080794042e-25 
6881.7 2.782596046453599e-25 
6889.61 3.1709479523215927e-25 
6897.52 3.616479644424646e-25 
6905.43 4.1280211296501e-25 
6913.34 4.715826171460964e-25 
6921.25 5.391811134077327e-25 
6929.16 6.169835391243846e-25 
6937.07 7.066030784597906e-25 
6944.9800000000005 8.0991890085644335e-25 
6952.89 9.29121745739913e-25 
6960.8 1.0667676048143353e-24 
6968.71 1.2258409894104926e-24 
6976.62 1.4098295523262407e-24 
6984.53 1.6228121706427703e-24 
6992.4400000000005 1.869562999177105e-24 
7000.35 2.1556744868820938e-24 
7008.26 2.487702926739857e-24 
7016.17 2.8733408029835924e-24 
7024.08 3.321621031355673e-24 
7031.99 3.843159187041337e-24 
7039.900000000001 4.4504410154085664e-24 
7047.81 5.1581639645107915e-24 
7055.72 5.9836432161721526e-24 
7063.63 6.947294785892274e-24 
7071.54 8.073210785537284e-24 
7079.45 9.389844987645384e-24 
7087.360000000001 1.0930830506755474e-23 
7095.27 1.2735955856030128e-23 
7103.18 1.4852331010617806e-23 
7111.09 1.7335781612683697e-23 
7119.0 2.0252517331014152e-23 
7126.91 2.3681129938639887e-23 
7134.82 2.7714988259737624e-23 
7142.7300000000005 3.2465111207899884e-23 
7150.64 3.8063617238006564e-23 
7158.55 4.466786933237159e-23 
7166.46 5.2465459959287905e-23 
7174.37 6.168021128583595e-23 
7182.28 7.257940353429698e-23 
7190.1900000000005 8.548249026365936e-23 
7198.1 1.0077161540671039e-22 
7206.01 1.1890431540374625e-22 
7213.92 1.4042887358673186e-22 
7221.83 1.3756797014716026e-22 
7229.74 1.3475786695524361e-22 
7237.650000000001 1.319978235040447e-22 
7245.56 1.292871068943276e-22 
7253.47 1.2662499181452046e-22 
7261.38 1.2401076051961623e-22 
7269.29 1.2144370280903273e-22 
7277.2 1.1892311600344794e-22 
7285.110000000001 1.164483049206337e-22 
7293.02 1.1401858185030611e-22 
7300.93 1.1163326652800913e-22 
7308.84 1.0929168610805699e-22 
7316.75 1.069931751355491e-22 
7324.66 1.0473707551748163e-22 
7332.57 1.0252273649297021e-22 
7340.4800000000005 1.0034951460260872e-22 
7348.39 9.821677365698037e-23 
7356.3 9.612388470433916e-23 
7364.21 9.407022599748674e-23 
7372.12 9.205518295985647e-23 
7380.03 9.007814815083109e-23 
7387.9400000000005 8.813852123030784e-23 
7395.85 8.62357089225344e-23 
7403.76 8.436912497922994e-23 
7411.67 8.253819014201596e-23 
7419.58 8.074233210417141e-23 
7427.49 7.898098547173343e-23 
7435.400000000001 7.725359172396109e-23 
7443.31 7.555959917318259e-23 
7451.22 7.3898462924041e-23 
7459.13 7.22696448321621e-23 
7467.04 7.067261346225894e-23 
7474.95 6.91068440456918e-23 
7482.860000000001 6.757181843750365e-23 
7490.77 6.606702507294775e-23 
7498.68 6.459195892352401e-23 
7506.59 6.314612145254595e-23 
7514.5 6.172902057025074e-23 
7522.41 1.9954948937483922e-22 
7530.32 1.9590002747687485e-22 
7538.2300000000005 1.9230812445204045e-22 
7546.14 1.8877305103235942e-22 
7554.05 1.8529408402836806e-22 
7561.96 1.8187050633046208e-22 
7569.87 1.7850160690928005e-22 
7577.78 1.7518668081513492e-22 
7585.6900000000005 1.7192502917650012e-22 
7593.6 1.6871595919757057e-22 
7601.51 1.6555878415490374e-22 
7609.42 1.6245282339315533e-22 
7617.33 1.5939740231992094e-22 
7625.24 1.5639185239969728e-22 
7633.150000000001 1.5343551114697128e-22 
7641.06 1.5052772211845573e-22 
7648.97 1.4766783490447458e-22 
7656.88 1.4485520511952112e-22 
7664.79 1.4208919439199123e-22 
7672.7 1.393691703531116e-22 
7680.610000000001 1.3669450662506985e-22 
7688.52 1.3406458280836611e-22 
7696.43 1.314787844683884e-22 
7704.34 6.033491166581001e-22 
7712.25 5.949099316676034e-22 
7720.16 5.865679142115052e-22 
7728.07 5.783222604780304e-22 
7735.9800000000005 5.701721690132257e-22 
7743.89 5.621168407716937e-22 
7751.8 5.54155479166575e-22 
7759.71 5.462872901187891e-22 
7767.62 5.385114821055387e-22 
7775.53 5.308272662080552e-22 
7783.4400000000005 5.232338561586068e-22 
7791.35 5.157304683867574e-22 
7799.26 5.083163220648682e-22 
7807.17 5.009906391528555e-22 
7815.08 4.937526444422009e-22 
7822.99 4.86601565599203e-22 
7830.900000000001 4.795366332074795e-22 
7838.81 4.725570808097237e-22 
7846.72 4.656621449486948e-22 
7854.63 4.588510652074733e-22 
7862.54 4.521230842489515e-22 
7870.45 4.454774478545809e-22 
7878.360000000001 4.389134049623619e-22 
7886.27 4.324302077040887e-22 
7894.18 4.26027111441843e-22 
7902.09 4.1970337480373535e-22 
7910.0 4.134582597189056e-22 
7917.91 4.072910314517706e-22 
7925.82 4.012009586355309e-22 
